OSM_ID,PUBLIC_TRA,NAME,REF,ROUTE_REF,OPERATOR,NETWORK,TRAIN,SUBWAY,MONORAIL,TRAM,BUS,TROLLEYBUS,AERIALWAY,FERRY,SHELTER,BENCH,COVERED,AREA,Z_ORDER,kmlgeometry
3974050131.0,stop_position,,,,,,,,,,yes,,,,,,,,,POINT (-219133.54 7045434.48 0)
533827583.0,platform,Princess Street/Town Hall (Stop SB),,,,,,,,,yes,,,,yes,yes,no,,,POINT (-249787.8 7072211.75 0)
2142698210.0,stop_position,,,,,,,,,,,,,,,,,,,POINT (-249061.14 7072361.43 0)
2142698203.0,stop_position,,,,,,,,,,,,,,,,,,,POINT (-248984.68 7072312.33 0)
533803313.0,platform,Piccadilly / Oldham Street (Stop A),,,,,,,,,yes,,,,yes,yes,yes,,,POINT (-248951.09 7072649.55 0)
1984423344.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248348.83 7071700.05 0)
38893290.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248346.22 7071704.17 0)
38893286.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248317.11 7071739.35 0)
1680923329.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248313.94 7071747.6 0)
1984441902.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248307.84 7071763.5 0)
673971.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248304.95 7071771.02 0)
500954662.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248299.81 7071784.43 0)
38893294.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248296.46 7071793.15 0)
493176000.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248290.17 7071809.53 0)
488782114.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248286.63 7071818.77 0)
493175824.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248282.31 7071830.03 0)
38893293.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248279.32 7071837.81 0)
500956218.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248206.54 7071559.02 0)
500956162.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248156.74 7071593.64 0)
500956219.0,stop_position,Manchester Piccadilly,,,,,yes,,,,,,,,,,,,,POINT (-248081.47 7071587.69 0)
3355991711.0,platform,New Islington,,,MetroLink,MetroLink,,,,,,,,,,,,,,POINT (-247120.46 7072482.5 0)
3209988987.0,stop_position,Manchester Airport,,,,,yes,,,,,,,,,,,,,POINT (-252974.09 7050796.71 0)
3209988986.0,stop_position,Manchester Airport,,,,,yes,,,,,,,,,,,,,POINT (-252969.68 7050784.4 0)
3209988988.0,stop_position,Manchester Airport,,,,,yes,,,,,,,,,,,,,POINT (-252961.85 7050844.71 0)
1511352916.0,platform,3a,3a,,,,,,,,,,,,,,,,,POINT (-252926.22 7050848.35 0)
1511352901.0,platform,2a,2a,,,,,,,,,,,,,,,,,POINT (-252921.74 7050813.28 0)
1511352821.0,platform,1a,1a,,,,,,,,,,,,,,,,,POINT (-252919.15 7050795.91 0)
1511352874.0,platform,3b,3b,,,,,,,,,,,,,,,,,POINT (-252759.0 7050876.87 0)
1511352971.0,platform,2b,2b,,,,,,,,,,,,,,,,,POINT (-252755.91 7050858.2 0)
1511352809.0,platform,1b,1b,,,,,,,,,,,,,,,,,POINT (-252752.06 7050842.64 0)
1040331989.0,stop_position,Stockport,,,,,yes,,,,,,,,,,,,,POINT (-240854.13 7058444.76 0)
1650576086.0,stop_position,Stockport,,,,,yes,,,,,,,,,,,,,POINT (-240822.75 7058390.78 0)
1574826766.0,stop_position,Stockport,,,,,yes,,,,,,,,,,,,,POINT (-240810.2 7058428.46 0)
1650576324.0,stop_position,Stockport,,,,,yes,,,,,,,,,,,,,POINT (-240766.16 7058272.04 0)
1650576263.0,stop_position,Stockport,,,,,yes,,,,,,,,,,,,,POINT (-240728.76 7058312.15 0)
1679561602.0,stop_position,Stockport,,,,,yes,,,,,,,,,,,,,POINT (-240723.79 7058312.2 0)
533843055.0,platform,Chew Moor Lane/Bolton Road,,,,,,,,,yes,,,,,no,no,,,POINT (-279263.53 7086423.25 0)
4081943926.0,stop_position,,,,,,,,,,yes,,,,,,,,,POINT (-225676.28 7079741.01 0)
4081943919.0,stop_position,,,,,,,,,,yes,,,,,,,,,POINT (-225593.59 7079726.09 0)
